Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10
whipped/sour cream,ice cream,pork,soda,root vegetables,rolls/buns,napkins,,,
whipped/sour cream,coffee,,,,,,,,
frozen vegetables,rolls/buns,pastry,citrus fruit,tropical fruit,soda,,,,
tropical fruit,margarine,,,,,,,,
butter,soda,fruit/vegetable juice,whipped/sour cream,shopping bags,,,,,
tropical fruit,pastry,newspapers,citrus fruit,domestic eggs,coffee,curd,rolls/buns,,
soda,ice cream,chicken,fruit/vegetable juice,,,,,,
detergent,butter,ice cream,margarine,yogurt,sausage,other vegetables,curd,hamburger meat,bottled water
whipped/sour cream,frozen vegetables,domestic eggs,yogurt,curd,,,,,
frozen vegetables,pastry,domestic eggs,chicken,citrus fruit,root vegetables,pip fruit,fruit/vegetable juice,,
cream cheese,bottled water,,,,,,,,
detergent,napkins,domestic eggs,rolls/buns,pork,yogurt,tropical fruit,chicken,sausage,
hamburger meat,tropical fruit,brown bread,chicken,domestic eggs,pastry,pip fruit,citrus fruit,shopping bags,napkins
newspapers,fruit/vegetable juice,whole milk,soda,whipped/sour cream,hamburger meat,rolls/buns,detergent,other vegetables,
pastry,soda,margarine,coffee,yogurt,bottled water,citrus fruit,brown bread,other vegetables,
yogurt,,,,,,,,,
chicken,detergent,butter,sausage,root vegetables,,,,,
root vegetables,yogurt,curd,citrus fruit,soda,napkins,,,,
cream cheese,soda,pastry,curd,pip fruit,root vegetables,whole milk,napkins,,
napkins,root vegetables,hamburger meat,detergent,,,,,,
pork,citrus fruit,pastry,cream cheese,rolls/buns,hamburger meat,whole milk,soda,,
tropical fruit,other vegetables,soda,cream cheese,citrus fruit,rolls/buns,pip fruit,pastry,coffee,sausage
hamburger meat,detergent,whole milk,,,,,,,
whole milk,coffee,,,,,,,,
newspapers,,,,,,,,,
soda,chicken,coffee,brown bread,sausage,butter,pip fruit,,,
root vegetables,coffee,hamburger meat,soda,brown bread,whipped/sour cream,fruit/vegetable juice,,,
chicken,domestic eggs,margarine,cream cheese,fruit/vegetable juice,pork,tropical fruit,ice cream,bottled water,
root vegetables,pip fruit,rolls/buns,pork,shopping bags,,,,,
napkins,chicken,bottled water,pip fruit,ice cream,,,,,
brown bread,whole milk,,,,,,,,
whole milk,root vegetables,curd,domestic eggs,coffee,rolls/buns,pip fruit,pastry,chicken,
whipped/sour cream,margarine,hamburger meat,frozen vegetables,napkins,,,,,
whipped/sour cream,curd,other vegetables,,,,,,,
sausage,brown bread,pork,napkins,domestic eggs,cream cheese,margarine,citrus fruit,frozen vegetables,pastry
pastry,yogurt,detergent,other vegetables,tropical fruit,pork,soda,chicken,frozen vegetables,
soda,detergent,whipped/sour cream,cream cheese,sausage,,,,,
detergent,other vegetables,rolls/buns,whole milk,,,,,,
fruit/vegetable juice,frozen vegetables,chicken,whole milk,ice cream,,,,,
yogurt,,,,,,,,,
butter,coffee,,,,,,,,
pork,tropical fruit,pastry,frozen vegetables,cream cheese,soda,root vegetables,bottled water,margarine,detergent
citrus fruit,margarine,brown bread,whipped/sour cream,cream cheese,bottled water,chicken,sausage,whole milk,
root vegetables,detergent,shopping bags,rolls/buns,,,,,,
cream cheese,,,,,,,,,
pip fruit,cream cheese,shopping bags,soda,,,,,,
cream cheese,,,,,,,,,
pip fruit,napkins,coffee,yogurt,ice cream,sausage,shopping bags,domestic eggs,hamburger meat,
pip fruit,pastry,chicken,fruit/vegetable juice,butter,,,,,
whole milk,pastry,butter,bottled water,brown bread,pip fruit,hamburger meat,domestic eggs,ice cream,margarine
yogurt,coffee,citrus fruit,shopping bags,pastry,pip fruit,,,,
chicken,domestic eggs,hamburger meat,butter,cream cheese,citrus fruit,coffee,pastry,detergent,
sausage,tropical fruit,citrus fruit,detergent,butter,domestic eggs,yogurt,,,
root vegetables,butter,domestic eggs,sausage,cream cheese,rolls/buns,ice cream,newspapers,shopping bags,
detergent,bottled water,butter,hamburger meat,pip fruit,yogurt,sausage,whole milk,,
other vegetables,shopping bags,whole milk,pip fruit,curd,coffee,root vegetables,butter,newspapers,
sausage,,,,,,,,,
detergent,soda,sausage,,,,,,,
margarine,frozen vegetables,ice cream,napkins,domestic eggs,pork,curd,tropical fruit,shopping bags,
fruit/vegetable juice,pork,bottled water,hamburger meat,,,,,,
pastry,shopping bags,curd,chicken,newspapers,soda,brown bread,whipped/sour cream,other vegetables,hamburger meat
other vegetables,napkins,frozen vegetables,,,,,,,
whole milk,pastry,soda,ice cream,pork,newspapers,frozen vegetables,hamburger meat,brown bread,
chicken,curd,whipped/sour cream,brown bread,rolls/buns,,,,,
margarine,hamburger meat,detergent,cream cheese,bottled water,soda,whipped/sour cream,tropical fruit,,
napkins,,,,,,,,,
rolls/buns,whipped/sour cream,whole milk,butter,fruit/vegetable juice,newspapers,hamburger meat,pip fruit,,
sausage,newspapers,whole milk,cream cheese,fruit/vegetable juice,,,,,
bottled water,curd,pip fruit,brown bread,,,,,,
rolls/buns,whole milk,pastry,whipped/sour cream,coffee,tropical fruit,ice cream,soda,napkins,bottled water
whipped/sour cream,bottled water,ice cream,fruit/vegetable juice,butter,domestic eggs,tropical fruit,frozen vegetables,rolls/buns,pastry
butter,newspapers,bottled water,coffee,margarine,tropical fruit,,,,
tropical fruit,,,,,,,,,
whole milk,pork,frozen vegetables,rolls/buns,hamburger meat,root vegetables,,,,
coffee,pastry,pork,whole milk,ice cream,other vegetables,,,,
root vegetables,coffee,sausage,tropical fruit,chicken,soda,pork,,,
root vegetables,tropical fruit,bottled water,chicken,,,,,,
root vegetables,whipped/sour cream,,,,,,,,
tropical fruit,shopping bags,whipped/sour cream,newspapers,other vegetables,butter,fruit/vegetable juice,whole milk,napkins,detergent
yogurt,ice cream,whole milk,shopping bags,margarine,brown bread,whipped/sour cream,fruit/vegetable juice,,
sausage,pork,detergent,pastry,bottled water,hamburger meat,coffee,butter,cream cheese,shopping bags
cream cheese,brown bread,fruit/vegetable juice,shopping bags,domestic eggs,butter,sausage,margarine,napkins,
margarine,frozen vegetables,root vegetables,fruit/vegetable juice,ice cream,shopping bags,,,,
whole milk,domestic eggs,bottled water,rolls/buns,pastry,tropical fruit,pork,detergent,,
napkins,tropical fruit,whipped/sour cream,,,,,,,
cream cheese,pip fruit,detergent,napkins,newspapers,domestic eggs,chicken,pork,sausage,margarine
bottled water,whipped/sour cream,hamburger meat,ice cream,,,,,,
curd,citrus fruit,rolls/buns,whipped/sour cream,bottled water,napkins,,,,
sausage,curd,margarine,domestic eggs,tropical fruit,citrus fruit,bottled water,ice cream,root vegetables,
cream cheese,domestic eggs,root vegetables,pip fruit,fruit/vegetable juice,shopping bags,margarine,brown bread,frozen vegetables,
butter,citrus fruit,newspapers,ice cream,,,,,,
rolls/buns,margarine,sausage,,,,,,,
domestic eggs,ice cream,whipped/sour cream,curd,coffee,napkins,frozen vegetables,yogurt,shopping bags,soda
root vegetables,domestic eggs,whole milk,other vegetables,coffee,pip fruit,,,,
brown bread,tropical fruit,hamburger meat,newspapers,napkins,citrus fruit,chicken,butter,detergent,
fruit/vegetable juice,,,,,,,,,
curd,whole milk,,,,,,,,
fruit/vegetable juice,sausage,whipped/sour cream,hamburger meat,,,,,,
tropical fruit,domestic eggs,whipped/sour cream,pastry,fruit/vegetable juice,yogurt,,,,
whole milk,margarine,domestic eggs,rolls/buns,curd,,,,,
rolls/buns,coffee,brown bread,frozen vegetables,,,,,,
hamburger meat,napkins,,,,,,,,
ice cream,cream cheese,newspapers,rolls/buns,napkins,margarine,,,,
yogurt,shopping bags,tropical fruit,curd,pip fruit,sausage,other vegetables,,,
whole milk,shopping bags,,,,,,,,
hamburger meat,citrus fruit,domestic eggs,pip fruit,,,,,,
shopping bags,hamburger meat,cream cheese,pip fruit,tropical fruit,citrus fruit,,,,
cream cheese,root vegetables,,,,,,,,
bottled water,rolls/buns,pip fruit,brown bread,domestic eggs,whipped/sour cream,,,,
frozen vegetables,root vegetables,coffee,,,,,,,
brown bread,hamburger meat,fruit/vegetable juice,,,,,,,
tropical fruit,root vegetables,chicken,pork,newspapers,shopping bags,ice cream,,,
pastry,,,,,,,,,
butter,domestic eggs,frozen vegetables,pastry,,,,,,
pastry,fruit/vegetable juice,shopping bags,detergent,butter,margarine,pork,yogurt,pip fruit,
rolls/buns,whole milk,detergent,yogurt,domestic eggs,butter,pip fruit,,,
napkins,hamburger meat,citrus fruit,,,,,,,
ice cream,hamburger meat,,,,,,,,
other vegetables,margarine,frozen vegetables,sausage,pork,brown bread,hamburger meat,bottled water,rolls/buns,
newspapers,brown bread,other vegetables,coffee,bottled water,chicken,margarine,frozen vegetables,,
frozen vegetables,citrus fruit,,,,,,,,
chicken,coffee,citrus fruit,hamburger meat,other vegetables,root vegetables,napkins,,,
whole milk,napkins,whipped/sour cream,pip fruit,yogurt,sausage,newspapers,margarine,,
frozen vegetables,curd,other vegetables,pastry,rolls/buns,coffee,bottled water,sausage,,
brown bread,coffee,margarine,pip fruit,pastry,frozen vegetables,root vegetables,,,
rolls/buns,,,,,,,,,
citrus fruit,pastry,other vegetables,yogurt,napkins,,,,,
sausage,fruit/vegetable juice,newspapers,bottled water,coffee,pastry,root vegetables,whipped/sour cream,,
hamburger meat,yogurt,ice cream,sausage,butter,coffee,tropical fruit,other vegetables,,
shopping bags,detergent,root vegetables,hamburger meat,,,,,,
curd,,,,,,,,,
detergent,fruit/vegetable juice,domestic eggs,root vegetables,ice cream,rolls/buns,coffee,,,
domestic eggs,whole milk,other vegetables,cream cheese,hamburger meat,butter,pork,,,
yogurt,chicken,coffee,curd,cream cheese,newspapers,tropical fruit,domestic eggs,pip fruit,hamburger meat
shopping bags,bottled water,pip fruit,fruit/vegetable juice,,,,,,
whipped/sour cream,newspapers,fruit/vegetable juice,ice cream,other vegetables,tropical fruit,,,,
rolls/buns,fruit/vegetable juice,shopping bags,,,,,,,
other vegetables,fruit/vegetable juice,margarine,pastry,pip fruit,curd,coffee,root vegetables,,
coffee,fruit/vegetable juice,detergent,cream cheese,hamburger meat,pastry,whipped/sour cream,whole milk,newspapers,frozen vegetables
yogurt,sausage,detergent,,,,,,,
detergent,,,,,,,,,
whipped/sour cream,napkins,shopping bags,root vegetables,newspapers,sausage,pork,butter,,
hamburger meat,,,,,,,,,
pip fruit,ice cream,pastry,pork,,,,,,
chicken,pastry,other vegetables,pork,yogurt,sausage,root vegetables,,,
cream cheese,brown bread,ice cream,root vegetables,frozen vegetables,other vegetables,detergent,shopping bags,bottled water,pip fruit
pastry,,,,,,,,,
whipped/sour cream,,,,,,,,,
pastry,detergent,brown bread,margarine,shopping bags,,,,,
newspapers,,,,,,,,,
soda,domestic eggs,butter,whipped/sour cream,other vegetables,rolls/buns,pastry,shopping bags,napkins,curd
sausage,yogurt,chicken,napkins,bottled water,curd,whipped/sour cream,brown bread,,
sausage,cream cheese,root vegetables,,,,,,,
bottled water,whipped/sour cream,pastry,shopping bags,,,,,,
soda,butter,other vegetables,rolls/buns,frozen vegetables,cream cheese,bottled water,,,
tropical fruit,frozen vegetables,butter,margarine,root vegetables,bottled water,coffee,chicken,,
ice cream,pastry,sausage,coffee,soda,whole milk,curd,,,
cream cheese,,,,,,,,,
hamburger meat,,,,,,,,,
whipped/sour cream,citrus fruit,cream cheese,curd,fruit/vegetable juice,domestic eggs,pip fruit,sausage,whole milk,chicken
curd,pastry,butter,bottled water,whole milk,cream cheese,fruit/vegetable juice,newspapers,rolls/buns,hamburger meat
citrus fruit,root vegetables,cream cheese,sausage,yogurt,newspapers,domestic eggs,,,
root vegetables,napkins,shopping bags,chicken,,,,,,
napkins,rolls/buns,detergent,frozen vegetables,fruit/vegetable juice,butter,pork,soda,margarine,
bottled water,root vegetables,rolls/buns,,,,,,,
bottled water,sausage,detergent,ice cream,root vegetables,,,,,
brown bread,curd,newspapers,rolls/buns,tropical fruit,whipped/sour cream,coffee,yogurt,butter,
pip fruit,shopping bags,yogurt,citrus fruit,soda,napkins,butter,root vegetables,,
shopping bags,sausage,soda,bottled water,ice cream,detergent,fruit/vegetable juice,,,
hamburger meat,napkins,cream cheese,ice cream,,,,,,
tropical fruit,,,,,,,,,
chicken,sausage,whipped/sour cream,curd,soda,shopping bags,root vegetables,ice cream,,
napkins,chicken,bottled water,,,,,,,
coffee,root vegetables,whipped/sour cream,sausage,tropical fruit,yogurt,curd,napkins,domestic eggs,
cream cheese,other vegetables,ice cream,pastry,citrus fruit,curd,napkins,,,
rolls/buns,ice cream,pip fruit,tropical fruit,domestic eggs,whipped/sour cream,pastry,napkins,coffee,
brown bread,pip fruit,ice cream,bottled water,margarine,,,,,
frozen vegetables,fruit/vegetable juice,sausage,,,,,,,
whole milk,yogurt,,,,,,,,
yogurt,newspapers,citrus fruit,other vegetables,root vegetables,,,,,
root vegetables,pastry,napkins,margarine,coffee,citrus fruit,pip fruit,newspapers,,
whipped/sour cream,brown bread,margarine,bottled water,curd,ice cream,domestic eggs,newspapers,butter,coffee
curd,yogurt,rolls/buns,shopping bags,napkins,pork,bottled water,domestic eggs,soda,
pip fruit,other vegetables,citrus fruit,sausage,napkins,butter,rolls/buns,coffee,newspapers,bottled water
hamburger meat,napkins,,,,,,,,
bottled water,whipped/sour cream,shopping bags,whole milk,ice cream,domestic eggs,,,,
newspapers,shopping bags,soda,cream cheese,brown bread,bottled water,other vegetables,ice cream,tropical fruit,sausage
brown bread,chicken,whipped/sour cream,yogurt,pip fruit,citrus fruit,,,,
pork,ice cream,domestic eggs,frozen vegetables,brown bread,hamburger meat,soda,,,
ice cream,soda,sausage,yogurt,hamburger meat,curd,fruit/vegetable juice,,,
brown bread,hamburger meat,margarine,frozen vegetables,yogurt,,,,,
domestic eggs,citrus fruit,,,,,,,,
brown bread,butter,pork,detergent,,,,,,
tropical fruit,yogurt,shopping bags,bottled water,ice cream,pork,citrus fruit,butter,soda,newspapers
fruit/vegetable juice,root vegetables,butter,frozen vegetables,pastry,pork,yogurt,rolls/buns,brown bread,
butter,sausage,,,,,,,,
detergent,soda,shopping bags,,,,,,,
pork,margarine,shopping bags,rolls/buns,whipped/sour cream,whole milk,,,,
domestic eggs,butter,margarine,root vegetables,detergent,napkins,curd,citrus fruit,coffee,
rolls/buns,whipped/sour cream,detergent,other vegetables,bottled water,whole milk,,,,
sausage,detergent,coffee,,,,,,,
detergent,curd,shopping bags,citrus fruit,pastry,,,,,
butter,newspapers,ice cream,rolls/buns,brown bread,shopping bags,pip fruit,chicken,whipped/sour cream,yogurt
chicken,,,,,,,,,
frozen vegetables,butter,whole milk,domestic eggs,detergent,citrus fruit,,,,
chicken,rolls/buns,yogurt,butter,,,,,,
whipped/sour cream,,,,,,,,,
tropical fruit,cream cheese,yogurt,hamburger meat,brown bread,detergent,,,,
napkins,brown bread,other vegetables,detergent,cream cheese,citrus fruit,domestic eggs,yogurt,,
bottled water,shopping bags,butter,,,,,,,
tropical fruit,hamburger meat,fruit/vegetable juice,,,,,,,
other vegetables,hamburger meat,margarine,bottled water,root vegetables,curd,newspapers,coffee,,
hamburger meat,,,,,,,,,
tropical fruit,butter,hamburger meat,pip fruit,chicken,whole milk,fruit/vegetable juice,bottled water,citrus fruit,
citrus fruit,newspapers,hamburger meat,butter,pastry,domestic eggs,other vegetables,fruit/vegetable juice,,
soda,brown bread,napkins,yogurt,newspapers,domestic eggs,rolls/buns,tropical fruit,,
shopping bags,pork,soda,napkins,frozen vegetables,other vegetables,hamburger meat,,,
curd,,,,,,,,,
tropical fruit,whole milk,pip fruit,cream cheese,yogurt,,,,,
frozen vegetables,coffee,rolls/buns,pip fruit,,,,,,
pastry,newspapers,tropical fruit,bottled water,brown bread,domestic eggs,,,,
rolls/buns,domestic eggs,brown bread,napkins,,,,,,
ice cream,soda,whipped/sour cream,,,,,,,
fruit/vegetable juice,rolls/buns,citrus fruit,detergent,,,,,,
yogurt,citrus fruit,rolls/buns,pastry,ice cream,shopping bags,detergent,,,
fruit/vegetable juice,whole milk,,,,,,,,
chicken,newspapers,butter,curd,hamburger meat,ice cream,,,,
curd,whipped/sour cream,rolls/buns,newspapers,hamburger meat,other vegetables,,,,
detergent,cream cheese,pastry,domestic eggs,brown bread,butter,coffee,hamburger meat,,
cream cheese,root vegetables,frozen vegetables,newspapers,pastry,domestic eggs,,,,
newspapers,domestic eggs,shopping bags,napkins,margarine,pork,pastry,sausage,,
tropical fruit,rolls/buns,citrus fruit,pip fruit,butter,,,,,
other vegetables,whipped/sour cream,,,,,,,,
margarine,domestic eggs,hamburger meat,pork,bottled water,shopping bags,ice cream,citrus fruit,,
whipped/sour cream,citrus fruit,detergent,sausage,shopping bags,,,,,
yogurt,frozen vegetables,,,,,,,,
rolls/buns,brown bread,chicken,citrus fruit,tropical fruit,pork,margarine,,,
root vegetables,butter,brown bread,frozen vegetables,cream cheese,citrus fruit,curd,pork,napkins,
pastry,,,,,,,,,
fruit/vegetable juice,curd,hamburger meat,cream cheese,,,,,,
root vegetables,frozen vegetables,,,,,,,,
domestic eggs,pip fruit,butter,newspapers,,,,,,
whole milk,bottled water,brown bread,citrus fruit,tropical fruit,butter,chicken,,,
brown bread,newspapers,butter,other vegetables,sausage,rolls/buns,pip fruit,chicken,tropical fruit,fruit/vegetable juice
root vegetables,whipped/sour cream,tropical fruit,shopping bags,citrus fruit,curd,,,,
shopping bags,butter,detergent,domestic eggs,ice cream,curd,whole milk,root vegetables,,
fruit/vegetable juice,butter,bottled water,newspapers,,,,,,
sausage,detergent,,,,,,,,
margarine,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,
soda,root vegetables,detergent,pastry,,,,,,
root vegetables,brown bread,shopping bags,,,,,,,
pastry,detergent,pork,napkins,margarine,butter,fruit/vegetable juice,,,
bottled water,pork,newspapers,rolls/buns,whole milk,,,,,
soda,yogurt,whole milk,pastry,other vegetables,whipped/sour cream,bottled water,curd,tropical fruit,napkins
pip fruit,tropical fruit,yogurt,cream cheese,bottled water,whole milk,,,,
frozen vegetables,,,,,,,,,
other vegetables,pork,shopping bags,root vegetables,,,,,,
fruit/vegetable juice,hamburger meat,pork,whole milk,sausage,,,,,
